路线编码,路段起点,路段终点,2020,2021,2022,2023,2024,技术等级,面层类型,车道数量,路基宽度,路面宽度,面层厚度,"修建
年度","养护里程
（公里）","已绿化里程
（公里）",地貌,高边坡数量,高边坡长度,涵洞数量
S205,575,576,90.89804668,55.12411865,3.85,66.87,63.16,四级公路,砂石,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,576,577,90.89804668,73.84,31.5,64.62,61.93,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,577,578,89.98868743,43.39,36.05,72.02660498,72.94,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,578,579,89.4375745,60.97,46.53,73.63,70.47,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,579,580,89.33389437,69.98,41.16,72.51,71.54,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,580,581,89.8937384,66.56,39.03,72.65,69.86,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,581,582,85.98,67.11,51.46,71.49,70.83,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,582,583,83.14,64.71,45.41,72.85,67.36,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,583,584,86.15,58.88,29.79,67.98,70.1,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,584,585,90.82,61.52,35.6,72.19,64.23,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,585,586,90.27,58.4,35.64,67.04,59.86,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,586,587,93.92,51.22,49.06,62.2,68.87,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,587,588,89.91780078,55.53,48.48,70.41,74.07,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,588,589,87.84436001,73.16,52.8,75.86,72.59,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,589,590,89.91780078,64.71,34.52,55.85,73.16,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,590,591,90.94331844,64.63,53.94,74.27,61.25,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,591,592,90.89804668,61.66,48.21,64.16,63.02,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,592,593,90.94331844,70.02,31.24,65.71,60.84,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,593,594,90.89804668,63.02,45.67,62.8,62.07,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,594,595,90.78028452,63.56,36.51,63.41,48.54,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,595,596,91.86432848,57.58,21.03,49.61,42.08,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,596,597,90.78028452,35.22,13.52,44.21,47.82,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,597,598,91.45108891,56.49,23.68,49.94,43.93,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,598,599,90.78028452,44.93,35.73,44.9,46.37,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,599,600,90.89804668,52.85,21.61,48.87,65.16,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,600,601,90.31091571,48.97,27.93,67.01,76.75,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,601,602,90.89804668,67.36,55.69,78.66,67.11,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,602,603,90.89804668,71.12,46.37,68.78,67.87,四级公路,沥青,1,5,4.5,4,1998,28,27.802,山岭,0,0,51
S205,603,604,90.14083753,57.41,31.98,48.4,75.49,四级公路,沥青,2,7.5,6,5,1954,34.681,34.681,山岭,0,0,109
S205,759,760,90.28907565,66.34748784,78.53,85.98,81.17,三级公路,沥青,2,7.5,6.5,5,1965,27.322,25,山岭,0,0,67
S205,760,761,90.43098818,63.83,68.75,83.14,84.23,三级公路,沥青,2,7.5,6.5,5,1965,27.322,25,山岭,0,0,67
S205,761,762,89.0606164,74.62,66.24,86.15,90.36,三级公路,沥青,2,7.5,6.5,5,1965,27.322,25,山岭,0,0,67
S205,762,763,90.3,83.85,81.65,90.82,89.03,三级公路,沥青,2,7.5,6.5,5,1965,27.322,25,山岭,0,0,67
S205,763,764,90,83.69,85.6,90.27,93.65,三级公路,沥青,2,7.5,6.5,5,1965,27.322,25,山岭,0,0,67
S205,764,765,88.23,90.66,90.6,93.92,65.42,三级公路,沥青,2,7.5,6.5,5,1965,27.322,25,山岭,0,0,67
S205,765,766,87.77,50.3,38.43,68.39,93.82,三级公路,沥青,2,7.5,6.5,5,1965,27.322,25,山岭,0,0,67
S205,766,767,88.92272285,89.69,90.3,94.3,92.57,三级公路,沥青,2,7.5,6.5,5,1965,27.322,25,山岭,0,0,67
S205,767,768,88.92272285,87.2,90,94.1,92.73,三级公路,沥青,2,7.5,6.5,5,1965,27.322,25,山岭,0,0,67
S205,768,769,88.80326729,84.84,88.23,93.61,91.99,三级公路,沥青,2,7.5,6.5,5,1965,27.322,25,山岭,0,0,67
S205,769,770,90.28907565,83.37,87.77,93.26,81.52,三级公路,沥青,2,7.5,6.5,5,1965,27.322,25,山岭,0,0,67
S205,770,771,90.28907565,59.44,75.73,82.38,79.62,三级公路,沥青,2,7.5,6.5,5,1965,27.322,25,山岭,0,0,67
S205,771,772,90.43098818,60.56,65.56,82.05,83.37,三级公路,沥青,2,7.5,6.5,5,1965,27.322,25,山岭,0,0,67
S205,772,773,90.41877566,71.07,73.94,84.34,85.93,三级公路,沥青,2,7.5,6.5,5,1965,27.322,25,山岭,0,0,67
S205,773,774,89.5184724,73.08,67.59,93.19,89.42,三级公路,沥青,2,7.5,6.5,5,1965,27.322,25,山岭,0,0,67
